age,gender,work_hours_per_week,meetings_per_day,work_life_balance_score,job_satisfaction_score,social_support_score,deadline_pressure_score,autonomy_score,stress_score,burnout_score,burnout_level
26,Male,43,5.7,5.8,3.5,3.9,4.2,7.1,6.0,6.3,High
28,Male,44,6.8,5.6,6.8,6.5,4.4,1.1,10.0,9.5,Severe
30,Male,50,5.2,5.8,3.1,6.0,6.1,4.8,7.8,7.2,Severe
22,Male,49,4.1,3.8,6.4,5.4,4.5,8.0,8.6,6.5,High
22,Female,49,4.0,3.3,4.1,3.1,6.9,9.1,9.5,8.6,Severe
28,Male,54,5.8,2.0,5.7,5.4,8.0,4.8,10.0,10.0,Severe
30,Male,35,4.3,5.1,1.5,6.9,4.0,7.7,4.3,1.0,Low
29,Female,45,6.9,4.2,5.1,4.4,6.0,3.6,8.2,4.7,Moderate
27,Male,50,3.5,7.2,4.7,5.9,7.0,3.5,7.5,4.9,Moderate
27,Female,44,5.1,6.6,6.7,3.5,5.8,7.0,6.8,5.0,Moderate
27,Male,40,2.2,4.6,5.3,6.1,8.3,4.1,6.8,6.6,High
25,Male,36,3.3,8.0,6.2,7.6,5.5,7.6,4.0,1.1,Low
27,Male,49,3.7,2.5,1.0,2.4,8.1,5.5,9.4,7.3,Severe
30,Male,56,1.6,8.4,1.0,3.3,7.2,6.9,7.9,9.1,Severe
29,Male,49,7.8,8.2,5.3,4.8,5.2,3.7,9.5,8.5,Severe
24,Male,58,4.1,2.9,2.8,8.6,6.9,3.4,10.0,9.5,Severe
27,Male,43,5.1,6.2,5.9,5.7,5.2,4.6,8.8,7.5,Severe
26,Non-binary,42,3.2,9.1,4.7,5.6,4.4,4.0,4.0,3.4,Low
29,Female,49,1.2,5.0,3.9,7.3,6.7,5.7,5.2,4.6,Moderate
22,Male,47,3.7,2.2,2.8,4.4,6.9,4.6,10.0,10.0,Severe
22,Female,54,6.5,7.6,3.1,4.3,6.4,7.0,9.1,8.1,Severe
22,Male,44,4.4,4.9,1.7,6.2,7.3,2.0,8.9,6.5,High
28,Male,42,4.7,6.5,7.0,5.7,9.7,7.7,9.2,7.1,Severe
28,Male,42,5.0,5.3,10.0,5.3,5.9,4.4,7.1,0.7,Low
23,Male,47,2.3,5.4,5.2,3.8,5.5,7.7,4.9,2.9,Low
22,Female,50,9.1,3.6,6.2,10.0,7.8,4.8,10.0,6.8,High
27,Female,41,5.1,3.3,7.5,6.8,7.5,4.5,7.6,4.8,Moderate
24,Non-binary,53,4.4,7.1,4.9,6.8,8.6,4.9,7.8,7.0,High
22,Male,46,2.1,7.9,3.0,3.2,7.1,9.3,6.4,6.6,High
29,Male,48,3.4,2.2,6.0,3.2,4.0,9.3,8.1,7.2,Severe
28,Female,50,2.6,5.3,6.8,8.0,7.0,4.7,6.9,3.5,Low
29,Male,35,6.9,3.5,5.9,3.9,7.8,3.5,8.9,5.1,Moderate
28,Female,52,6.9,5.8,4.3,5.2,2.2,5.1,7.8,7.5,Severe
29,Male,43,1.8,5.6,8.4,8.1,9.0,2.7,6.7,5.0,Moderate
22,Male,46,2.2,8.3,3.2,3.5,5.8,2.8,6.6,7.4,Severe
30,Male,36,4.4,3.9,5.5,5.2,5.0,6.6,4.7,0.0,Low
22,Male,44,1.6,3.8,3.6,5.9,7.7,8.7,5.7,3.9,Moderate
22,Male,51,3.3,2.6,6.6,6.8,7.9,7.6,7.7,5.2,Moderate
28,Female,52,2.0,4.1,5.4,6.5,8.4,6.3,7.1,5.8,High
27,Female,51,4.1,4.9,1.2,6.1,7.3,4.8,7.6,5.4,Moderate
22,Male,48,2.0,8.4,1.0,3.6,4.8,6.1,2.2,2.5,Low
28,Female,47,2.5,3.7,4.2,6.4,7.8,6.1,5.0,2.2,Low
29,Female,49,6.3,7.3,5.3,5.8,8.5,3.0,10.0,10.0,Severe
22,Male,47,4.0,5.6,4.2,7.1,5.5,6.8,7.2,5.4,Moderate
29,Female,50,1.1,7.8,7.4,6.4,6.7,5.9,6.4,5.5,Moderate
28,Non-binary,36,2.4,3.2,3.1,3.3,6.9,7.9,6.0,5.6,High
28,Male,42,0.0,6.5,4.5,7.8,5.6,5.8,2.2,0.0,Low
26,Female,45,6.5,1.5,2.8,4.8,5.9,3.6,10.0,9.0,Severe
25,Female,56,3.1,3.9,5.2,3.1,9.3,3.3,10.0,7.9,Severe
27,Male,35,1.7,5.6,3.2,8.2,4.3,8.1,3.9,0.0,Low
24,Male,53,1.5,2.2,3.1,4.3,5.0,7.5,7.5,6.2,High
22,Female,41,2.6,6.3,3.1,6.1,8.0,7.9,3.9,0.2,Low
28,Male,43,4.9,7.8,4.4,9.0,5.1,4.9,5.8,2.7,Low
25,Female,41,2.7,9.4,6.8,2.6,5.3,6.5,3.0,0.7,Low
27,Female,39,6.2,6.2,4.2,4.9,10.0,4.2,8.1,4.5,Moderate
27,Female,47,5.1,2.0,3.4,4.7,9.5,4.9,10.0,7.5,Severe
30,Female,44,3.3,3.3,5.7,5.9,10.0,5.1,8.2,2.9,Low
22,Male,51,4.8,7.2,4.3,4.7,4.8,7.8,6.0,5.0,Moderate
30,Female,56,7.1,6.9,5.6,5.2,6.4,4.2,10.0,10.0,Severe
30,Female,57,2.7,5.7,3.9,4.0,6.6,6.5,7.1,7.1,Severe
28,Male,47,5.3,4.9,3.4,4.5,6.7,5.7,10.0,10.0,Severe
30,Female,46,5.5,4.7,3.6,9.1,7.2,3.5,7.7,4.9,Moderate
22,Male,43,3.0,6.2,6.3,6.7,7.4,4.2,7.8,6.7,High
22,Male,48,5.8,6.0,5.9,6.5,6.1,7.8,6.1,3.4,Low
30,Female,50,5.7,5.6,5.3,6.6,6.8,4.3,7.8,7.2,Severe
27,Male,50,2.8,7.9,4.9,5.4,7.2,9.2,2.8,0.0,Low
27,Male,49,2.1,2.4,4.7,7.7,7.2,9.3,5.7,3.8,Moderate
22,Male,49,7.3,6.5,1.0,4.3,1.0,4.7,4.8,4.7,Moderate
22,Female,48,4.8,4.9,1.9,4.2,6.5,5.4,9.0,7.2,Severe
29,Female,39,3.0,2.3,3.1,6.5,6.7,5.6,8.4,5.9,High
30,Male,47,3.1,3.7,3.7,4.1,5.4,9.4,7.6,5.6,High
23,Female,45,7.4,4.0,5.4,6.8,7.5,7.5,10.0,8.7,Severe
23,Male,48,8.8,6.5,6.9,8.2,6.3,6.3,10.0,8.2,Severe
23,Male,40,0.6,8.5,4.4,3.8,4.3,6.1,2.6,0.0,Low
28,Male,57,4.3,5.9,5.0,6.6,10.0,4.0,10.0,7.7,Severe
29,Male,56,6.5,3.2,7.8,6.9,6.9,7.2,10.0,10.0,Severe
22,Prefer not to say,48,3.7,4.6,6.3,3.8,8.8,5.3,9.4,7.6,Severe
22,Female,47,5.1,4.9,5.2,4.9,4.8,5.8,3.5,1.3,Low
22,Female,44,6.2,6.6,3.4,4.8,5.0,5.7,10.0,10.0,Severe
28,Male,51,4.1,4.2,1.0,5.4,4.3,5.5,6.1,4.9,Moderate
30,Male,45,0.5,6.5,4.2,4.8,6.7,6.1,6.5,6.3,High
22,Female,47,3.2,5.2,5.1,9.0,5.5,1.7,6.8,6.0,High
23,Female,49,1.3,4.8,6.2,3.4,8.9,4.5,6.0,3.1,Low
22,Female,47,4.7,6.8,5.4,6.8,7.6,6.7,6.9,4.2,Moderate
30,Male,46,7.4,4.4,5.8,3.6,4.4,7.2,7.1,1.6,Low
27,Non-binary,51,2.8,7.0,4.4,5.4,6.7,9.0,4.9,2.8,Low
29,Male,48,3.1,4.0,4.9,7.2,7.1,5.2,7.4,3.7,Moderate
28,Male,43,1.3,4.4,4.1,5.8,8.2,8.3,4.0,2.4,Low
24,Male,43,5.2,3.9,2.7,6.6,7.4,7.3,5.4,2.1,Low
26,Male,44,2.7,5.9,4.4,3.9,5.3,6.1,2.7,0.0,Low
25,Male,55,6.0,1.0,2.3,5.4,8.2,7.1,10.0,10.0,Severe
25,Male,45,2.7,4.7,6.6,5.6,4.8,5.6,5.8,2.8,Low
22,Male,48,2.5,5.3,3.3,5.7,8.9,8.4,6.1,2.9,Low
26,Male,41,3.7,4.5,3.1,4.4,4.7,4.0,5.6,5.1,Moderate
28,Female,57,6.2,4.7,5.3,2.9,5.4,4.9,9.6,8.6,Severe
22,Female,48,2.2,9.0,5.0,6.0,4.7,5.4,3.7,1.8,Low
22,Female,44,2.6,3.6,5.0,2.5,4.4,4.4,6.4,5.7,High
22,Female,43,3.1,2.9,1.7,4.0,4.7,6.5,6.2,4.7,Moderate
22,Female,44,6.1,3.4,3.8,5.0,6.6,4.0,9.4,4.6,Moderate
22,Female,43,6.3,5.6,1.2,5.3,6.5,7.1,7.9,3.9,Moderate
22,Male,36,6.1,7.3,1.0,3.7,6.0,6.2,6.7,3.1,Low
22,Male,43,2.1,2.9,3.1,5.0,7.3,6.1,4.8,3.0,Low
24,Prefer not to say,47,1.6,5.9,5.5,6.1,5.4,4.1,3.3,3.2,Low
26,Female,44,0.6,3.1,4.2,6.3,7.2,4.5,4.3,1.2,Low
29,Female,60,0.8,4.4,4.5,7.3,7.6,5.2,7.6,7.4,Severe
30,Male,39,5.8,5.5,2.3,5.2,8.3,5.7,9.7,4.9,Moderate
22,Male,46,2.7,3.1,5.1,3.2,6.3,4.8,8.6,8.6,Severe
22,Male,47,3.5,3.4,6.6,10.0,6.0,7.2,3.2,2.3,Low
22,Non-binary,46,0.6,6.4,2.7,7.3,6.0,3.6,4.8,2.6,Low
26,Male,41,1.1,3.8,4.2,5.3,3.8,10.0,3.4,0.5,Low
28,Male,48,0.0,6.0,2.9,8.7,5.6,6.9,4.1,0.0,Low
29,Male,40,3.1,4.8,6.2,5.8,5.3,3.3,7.9,7.6,Severe
29,Female,35,2.7,6.0,4.0,4.7,7.4,9.7,3.8,3.8,Moderate
26,Male,49,5.0,4.8,5.0,5.0,7.0,7.2,4.7,1.5,Low
30,Female,40,2.0,5.4,4.8,4.0,6.1,7.9,3.3,0.2,Low
27,Male,42,3.8,5.0,3.5,7.5,10.0,3.3,5.6,3.0,Low
22,Male,51,3.7,4.3,4.5,5.3,6.1,3.9,8.2,4.9,Moderate
27,Female,55,6.8,6.3,3.6,2.5,5.5,5.8,7.2,6.0,High
30,Male,51,1.6,5.5,6.0,3.8,6.3,4.1,6.4,6.4,High
30,Male,41,4.3,7.3,9.2,3.9,5.5,8.1,7.0,6.3,High
30,Male,43,2.6,7.1,6.9,3.8,5.7,6.3,6.2,4.8,Moderate
30,Male,43,5.5,7.5,8.6,5.5,8.2,4.7,10.0,7.5,Severe
25,Male,38,3.5,5.9,1.9,4.8,5.7,4.2,3.6,2.9,Low
23,Male,50,2.0,9.2,2.4,5.5,7.8,6.3,6.7,7.4,Severe
22,Male,54,3.5,3.9,5.3,2.9,5.7,8.8,8.6,5.1,Moderate
24,Male,61,5.1,7.2,6.0,7.3,5.6,5.5,9.6,9.9,Severe
22,Non-binary,46,2.9,4.9,3.9,4.9,5.6,2.8,6.3,5.8,High
28,Male,42,5.2,4.0,5.5,3.6,4.2,8.1,8.2,7.2,Severe
30,Male,43,5.9,6.7,6.9,3.7,8.0,5.4,7.4,4.6,Moderate
27,Male,51,8.5,6.9,6.3,6.1,4.8,3.9,10.0,9.3,Severe
29,Male,50,7.6,4.9,5.3,4.1,8.1,8.4,10.0,9.6,Severe
22,Female,54,2.0,9.9,4.2,4.2,8.5,6.4,7.0,7.3,Severe
25,Male,47,3.1,4.3,3.2,5.0,7.9,4.5,6.9,2.3,Low
28,Male,54,4.3,2.6,4.4,3.7,7.4,6.5,9.8,7.7,Severe
22,Male,43,4.8,2.7,3.1,4.4,4.7,3.6,7.1,6.0,High
23,Male,40,3.0,5.2,1.0,2.9,3.3,7.1,4.2,2.2,Low
26,Female,53,4.4,3.4,6.2,7.5,3.8,6.4,8.1,7.1,Severe
28,Male,53,3.8,1.1,7.7,6.4,3.0,5.5,7.6,8.1,Severe
30,Female,42,1.2,6.2,4.5,5.2,6.0,6.3,3.3,1.5,Low
26,Female,48,2.6,4.4,5.1,6.8,5.2,5.6,5.0,3.0,Low
24,Male,45,5.5,6.8,1.0,5.5,5.4,5.4,4.6,3.9,Moderate
28,Male,48,3.4,6.8,4.2,5.8,9.1,7.8,8.2,7.6,Severe
24,Non-binary,44,4.8,5.3,4.0,4.5,7.3,6.2,6.3,5.2,Moderate
27,Male,41,2.5,6.3,2.3,3.6,8.0,7.8,3.1,0.4,Low
24,Female,43,1.7,3.9,4.3,6.5,6.5,6.2,5.1,4.3,Moderate
22,Male,49,2.8,1.0,6.8,3.6,9.0,3.2,10.0,8.8,Severe
30,Male,46,5.0,3.4,6.5,5.5,10.0,1.0,8.8,5.8,High
30,Male,43,10.1,6.3,3.9,4.3,3.4,5.2,8.9,6.1,High
28,Male,51,3.2,4.3,9.1,4.1,8.1,4.4,8.6,7.5,Severe
28,Male,49,6.7,7.3,2.0,9.5,6.8,4.2,10.0,9.1,Severe
23,Male,53,6.4,5.7,1.0,5.6,7.3,5.5,10.0,7.8,Severe
22,Male,54,6.3,7.3,6.8,3.8,6.5,5.0,9.9,8.4,Severe
30,Male,48,4.0,9.8,3.3,4.3,8.1,5.4,8.3,7.4,Severe
23,Male,44,2.4,9.7,4.4,6.2,5.4,6.5,3.1,2.1,Low
22,Female,45,2.7,7.3,3.9,7.3,6.2,2.8,4.2,2.4,Low
27,Female,52,8.1,6.2,5.2,4.6,3.9,6.3,8.4,6.9,High
23,Male,35,5.6,4.9,1.2,5.6,8.2,7.1,5.5,0.6,Low
29,Female,48,1.0,3.4,5.9,7.2,5.7,4.1,6.5,5.2,Moderate
28,Male,38,4.0,5.7,4.0,7.5,4.6,7.3,5.8,5.2,Moderate
29,Female,60,5.1,4.0,3.9,4.0,4.5,8.8,7.4,7.5,Severe
23,Male,41,3.8,9.1,6.3,5.2,4.2,4.3,4.7,3.4,Low
24,Non-binary,44,5.4,3.6,1.0,6.3,5.1,5.9,8.6,7.0,High
30,Male,37,4.7,6.1,6.6,5.3,5.5,5.0,6.9,4.3,Moderate
30,Prefer not to say,51,5.2,2.5,4.8,7.5,6.9,7.3,8.9,5.6,High
24,Male,55,3.4,4.4,3.8,7.8,8.2,6.7,10.0,9.0,Severe
26,Male,42,1.6,5.0,3.1,8.9,10.0,7.0,6.1,2.8,Low
25,Male,38,1.7,8.4,3.4,3.3,4.4,5.5,4.3,2.0,Low
22,Male,39,1.3,3.2,1.8,5.2,8.2,4.6,7.6,6.3,High
26,Male,46,2.8,5.8,5.6,2.0,4.6,4.9,5.9,4.8,Moderate
30,Male,53,1.6,4.2,2.3,3.6,3.3,7.0,3.7,2.7,Low
22,Male,50,4.2,4.0,2.0,8.7,7.3,1.0,10.0,8.0,Severe
26,Female,48,4.3,2.9,5.0,8.0,4.9,6.1,5.1,4.0,Moderate
22,Male,48,3.9,3.1,7.8,6.0,6.7,8.9,5.2,0.9,Low
23,Prefer not to say,47,2.0,4.4,4.8,5.7,3.8,6.0,5.6,4.3,Moderate
25,Male,53,7.9,2.5,2.8,4.7,6.9,6.1,10.0,10.0,Severe
22,Male,55,0.1,4.3,2.8,6.4,9.1,5.7,9.1,8.3,Severe
29,Female,47,3.4,3.7,3.3,10.0,7.3,6.8,7.2,1.5,Low
29,Male,44,2.5,1.8,9.0,8.1,6.4,3.4,7.5,4.4,Moderate
23,Female,43,5.3,3.6,3.7,5.3,8.7,8.5,10.0,6.4,High
29,Male,55,3.5,9.0,5.1,7.5,5.1,5.1,4.5,4.4,Moderate
23,Male,45,4.9,7.0,5.3,7.0,5.5,7.5,3.5,1.6,Low
23,Male,55,2.9,8.8,4.9,2.8,6.5,5.8,8.9,9.8,Severe
26,Male,56,5.5,2.6,3.3,7.1,6.9,4.2,9.4,10.0,Severe
25,Male,42,4.9,7.0,7.3,6.1,7.7,3.9,7.5,5.5,Moderate
27,Female,37,3.3,5.3,2.9,5.4,8.4,7.6,5.6,3.7,Moderate
22,Male,36,4.6,7.5,4.9,6.2,6.7,4.9,5.0,3.1,Low
28,Male,41,5.1,4.0,2.8,4.5,6.4,7.4,6.0,4.7,Moderate
30,Male,49,5.5,5.3,3.0,8.7,5.0,4.2,7.4,4.4,Moderate
24,Male,44,3.9,4.9,4.6,4.1,7.6,4.5,6.1,2.5,Low
27,Female,48,6.7,3.8,4.7,6.0,6.5,6.9,7.4,5.3,Moderate
28,Female,51,1.7,6.1,1.1,5.2,3.4,7.1,4.5,5.0,Moderate
22,Female,55,3.3,8.5,5.3,4.0,6.9,4.7,6.3,4.5,Moderate
29,Female,44,4.8,5.4,1.1,2.8,9.8,5.1,9.8,7.1,Severe
23,Male,51,2.1,5.2,5.5,10.0,6.9,5.7,5.5,4.7,Moderate
29,Non-binary,50,4.7,4.6,5.0,3.4,9.7,6.6,10.0,9.6,Severe
27,Male,45,3.5,5.7,3.0,3.7,4.7,5.0,8.7,8.1,Severe
22,Female,44,3.0,5.4,2.0,5.4,6.9,5.8,6.9,4.8,Moderate
26,Male,44,4.1,6.1,3.6,4.4,7.7,5.2,7.5,6.3,High
27,Male,54,8.1,4.6,6.8,1.0,4.5,2.2,10.0,10.0,Severe
24,Male,42,4.2,5.9,4.3,8.8,7.2,7.7,6.8,4.2,Moderate
28,Male,46,1.7,5.7,7.1,5.4,8.3,2.1,7.2,5.5,Moderate
27,Female,45,5.7,6.7,6.2,2.0,6.8,9.7,9.9,8.7,Severe
30,Male,39,8.2,5.1,5.2,4.3,6.1,8.7,10.0,6.8,High
25,Male,45,3.2,3.2,3.6,7.0,7.7,3.8,7.6,4.8,Moderate
28,Female,50,5.8,6.2,3.5,7.0,6.4,5.2,7.2,6.0,High
29,Male,47,2.8,4.9,2.0,4.9,2.9,8.3,1.8,0.0,Low
28,Male,41,2.8,6.9,3.9,6.5,5.8,4.7,3.9,2.0,Low
25,Male,45,6.2,5.1,5.2,4.6,8.9,7.4,10.0,8.0,Severe
25,Male,42,2.7,5.2,4.3,7.1,4.7,6.8,3.0,1.4,Low
26,Female,48,6.0,7.6,2.0,5.2,6.2,3.6,9.7,8.5,Severe
22,Female,55,2.6,1.0,7.7,7.1,9.1,7.3,8.7,7.6,Severe
22,Male,51,2.1,4.4,3.6,4.1,6.3,1.3,8.0,7.6,Severe
28,Male,47,2.8,8.9,5.6,6.5,9.6,8.0,5.9,2.6,Low
27,Male,52,6.1,6.7,2.0,7.0,8.3,6.4,10.0,8.5,Severe
25,Male,39,3.8,7.5,6.4,3.2,7.4,8.3,6.8,6.1,High
24,Female,49,3.8,5.7,6.5,6.5,6.6,4.5,5.8,3.1,Low
23,Female,41,3.8,6.3,1.0,7.2,4.2,4.1,5.7,4.4,Moderate
28,Prefer not to say,40,4.9,4.5,4.5,7.5,3.6,4.0,5.9,3.3,Low
26,Male,38,5.0,5.2,6.8,5.9,5.3,6.9,3.9,0.0,Low
30,Male,45,2.9,4.9,5.1,6.2,9.1,10.0,7.5,2.6,Low
30,Male,50,3.0,3.5,7.6,6.4,6.8,6.2,7.9,7.4,Severe
27,Male,52,7.1,7.4,1.5,6.5,7.1,8.5,7.5,3.9,Moderate
24,Male,54,2.6,2.9,5.3,6.2,1.5,1.4,5.2,3.8,Moderate
22,Female,42,2.1,5.0,9.9,8.3,4.9,1.0,5.1,4.0,Moderate
22,Male,53,3.6,4.4,5.1,4.9,4.3,6.6,8.6,7.2,Severe
26,Female,42,4.6,6.6,7.2,5.0,6.1,7.8,7.2,6.6,High
28,Male,47,4.4,3.8,8.0,7.1,3.6,7.5,7.2,6.6,High
24,Male,51,4.1,4.5,7.1,5.5,8.7,7.7,6.7,4.2,Moderate
22,Male,45,4.2,4.7,2.5,7.0,4.4,6.0,6.7,5.0,Moderate
29,Male,49,3.8,5.5,1.9,3.2,8.1,5.9,6.7,4.6,Moderate
26,Male,48,2.8,6.7,1.6,3.3,5.3,10.0,5.5,4.1,Moderate
25,Male,40,6.8,5.1,4.9,4.6,4.9,8.3,7.9,3.9,Moderate
30,Male,43,5.0,6.8,2.9,6.3,7.6,4.4,7.9,6.9,High
22,Female,43,5.4,6.1,5.3,2.9,10.0,5.0,10.0,10.0,Severe
22,Female,60,7.6,6.6,4.3,6.8,7.6,8.8,10.0,8.7,Severe
24,Male,48,3.9,3.4,6.0,4.9,4.1,6.1,5.0,2.3,Low
22,Male,43,3.4,8.0,6.9,7.4,5.0,3.4,4.9,2.7,Low
22,Male,47,1.5,2.5,4.2,4.7,5.6,5.1,7.9,7.6,Severe
29,Female,42,5.4,4.5,3.5,5.4,5.1,3.3,7.7,3.1,Low
22,Male,43,2.5,4.2,3.9,7.4,9.0,4.9,7.7,5.2,Moderate
30,Prefer not to say,52,3.8,7.5,4.1,6.2,6.6,3.6,6.2,5.2,Moderate
30,Female,47,3.3,3.3,2.9,9.7,10.0,6.3,7.7,5.5,Moderate
29,Non-binary,41,3.7,4.3,4.5,6.9,6.6,4.2,7.9,6.1,High
23,Male,44,6.4,6.9,2.6,7.6,6.0,4.2,10.0,9.4,Severe
22,Male,37,2.9,4.8,2.6,6.5,5.5,2.0,7.2,5.3,Moderate
29,Male,44,4.9,7.6,6.8,3.2,8.1,6.3,5.9,1.8,Low
22,Female,46,7.0,3.0,3.2,4.2,3.8,6.2,8.7,7.3,Severe
28,Male,40,7.5,6.7,6.1,4.1,8.1,7.7,9.5,5.1,Moderate
30,Male,44,1.4,8.1,2.7,5.9,6.7,6.8,3.0,2.4,Low
27,Male,42,7.6,6.4,6.9,2.3,5.9,3.0,8.4,8.3,Severe
30,Male,36,4.1,3.9,3.9,4.1,5.6,4.8,5.9,2.1,Low
22,Female,36,3.9,5.8,1.0,7.0,3.9,6.1,7.7,7.2,Severe
29,Female,53,0.8,3.2,5.9,6.8,9.3,4.1,5.5,5.3,Moderate
25,Male,49,3.1,8.3,4.1,5.2,8.8,4.1,7.4,4.6,Moderate
23,Male,44,0.6,4.8,4.5,6.4,6.5,3.7,6.1,5.5,Moderate
22,Male,51,7.0,6.3,8.2,3.0,6.3,6.3,9.7,6.5,High
25,Male,47,1.2,7.9,4.6,6.7,4.9,4.2,3.0,2.7,Low
25,Female,41,3.3,4.4,4.1,5.1,4.0,8.1,4.1,0.8,Low
26,Female,55,2.0,7.6,7.4,6.7,7.7,6.5,6.7,7.2,Severe
30,Female,51,7.8,6.7,5.6,4.8,5.2,6.3,10.0,10.0,Severe
22,Male,49,4.0,5.6,4.2,4.1,8.4,6.0,9.2,5.6,High
26,Male,44,8.7,6.3,6.7,7.0,5.3,4.1,8.7,5.9,High
26,Female,40,4.9,4.6,4.8,6.1,4.5,5.4,5.7,3.0,Low
22,Non-binary,52,8.1,6.2,7.1,6.3,4.1,5.4,10.0,9.0,Severe
27,Male,47,3.1,5.5,6.1,8.5,5.8,5.6,7.8,5.9,High
30,Female,37,4.2,8.8,3.9,6.4,1.0,6.8,2.8,2.1,Low
27,Male,43,4.2,5.3,4.2,6.3,10.0,5.3,6.9,4.5,Moderate
26,Male,51,5.9,6.1,4.7,6.0,7.6,8.8,8.2,7.6,Severe
22,Female,47,1.7,6.1,1.0,6.4,4.1,5.0,4.3,2.3,Low
24,Female,41,1.6,5.3,1.0,4.4,4.3,7.0,8.3,8.0,Severe
30,Male,46,6.3,5.6,5.7,2.2,7.8,5.7,10.0,8.3,Severe
30,Non-binary,49,7.4,6.6,1.9,4.9,4.8,5.5,8.6,8.6,Severe
27,Female,44,4.5,5.4,4.6,4.2,5.2,9.9,9.1,7.4,Severe
28,Male,56,6.5,4.2,3.9,6.2,3.5,4.3,7.5,3.8,Moderate
29,Male,49,4.4,6.2,2.9,5.9,4.2,3.4,9.5,6.8,High
28,Female,39,1.7,4.3,5.9,4.2,6.6,6.4,5.2,3.3,Low
24,Male,50,4.2,7.4,3.6,5.6,5.9,2.5,4.6,2.8,Low
22,Female,52,4.5,5.9,5.0,5.4,7.3,6.8,8.2,5.7,High
24,Female,44,2.0,8.3,2.3,1.4,4.8,5.3,6.6,5.5,Moderate
28,Male,47,4.0,5.9,7.1,5.1,4.6,5.2,6.2,5.1,Moderate
28,Female,49,0.8,6.4,3.2,8.4,5.1,4.2,2.9,1.7,Low
30,Male,35,3.9,6.0,4.4,6.0,6.3,4.4,3.5,0.0,Low
22,Female,53,7.1,5.5,6.2,4.7,7.7,6.1,10.0,10.0,Severe
27,Female,48,0.4,2.7,5.9,6.1,7.2,3.0,8.0,7.1,Severe
27,Male,46,2.9,6.3,3.6,3.0,7.7,5.6,7.2,4.3,Moderate
24,Male,49,3.2,5.0,3.5,7.7,4.7,3.2,5.3,5.4,Moderate
27,Non-binary,46,3.6,7.2,5.4,3.0,10.0,7.6,9.2,8.2,Severe
25,Male,57,3.6,4.9,3.9,4.8,7.3,3.3,9.9,8.9,Severe
25,Male,47,7.7,5.4,3.6,6.0,4.5,6.6,8.2,7.5,Severe
26,Male,43,5.1,5.0,2.7,3.7,5.0,5.1,7.2,5.8,High
26,Male,58,7.3,6.1,2.7,5.6,7.1,6.2,10.0,9.5,Severe
25,Male,43,4.4,4.4,5.4,6.5,7.3,1.0,4.8,1.4,Low
29,Male,42,3.2,4.1,6.4,2.7,4.2,7.0,3.6,1.5,Low
29,Male,43,3.0,7.6,4.5,8.8,6.0,7.6,3.8,3.4,Low
28,Female,45,5.6,7.4,2.8,8.1,4.9,5.7,5.8,5.5,Moderate
26,Non-binary,50,6.6,3.2,5.3,5.0,4.2,5.1,7.7,6.1,High
22,Male,51,5.7,4.9,4.2,7.6,5.7,4.9,10.0,8.8,Severe
24,Male,48,5.5,6.2,7.2,6.2,6.5,4.5,6.4,4.9,Moderate
27,Male,40,2.8,9.0,4.2,6.9,5.9,6.0,2.2,0.0,Low
22,Female,52,3.1,6.4,5.0,5.1,5.9,7.9,5.7,5.6,High
29,Male,50,2.4,5.3,1.9,4.7,8.9,4.7,8.1,5.2,Moderate
